frame,green_ratio,sharpness,sharpness_norm,combined
frame_001310.jpg,0.5727,405.3,0.3633,0.4889
frame_000530.jpg,0.6540,266.4,0.2388,0.4879
frame_002810.jpg,0.7553,95.9,0.0859,0.4876
frame_001040.jpg,0.3796,724.5,0.6494,0.4875
frame_000990.jpg,0.3873,711.5,0.6378,0.4875
frame_000270.jpg,0.3828,718.1,0.6437,0.4871
frame_003130.jpg,0.6074,342.2,0.3067,0.4871
frame_001240.jpg,0.4394,621.6,0.5572,0.4865
frame_000370.jpg,0.5160,493.2,0.4421,0.4864
frame_003950.jpg,0.5142,496.1,0.4447,0.4864
frame_001270.jpg,0.4381,618.9,0.5547,0.4848
frame_001020.jpg,0.3775,720.0,0.6454,0.4847
frame_003410.jpg,0.5392,448.7,0.4022,0.4844
frame_001130.jpg,0.3786,717.2,0.6429,0.4843
frame_000280.jpg,0.3718,728.0,0.6526,0.4841
frame_001370.jpg,0.4130,658.1,0.5899,0.4838
frame_000450.jpg,0.5593,412.8,0.3700,0.4836
frame_000090.jpg,0.3606,741.3,0.6645,0.4822
frame_001010.jpg,0.3853,698.1,0.6258,0.4815
frame_000400.jpg,0.4874,524.8,0.4704,0.4806
frame_001250.jpg,0.4999,502.6,0.4505,0.4802
frame_000940.jpg,0.4199,633.7,0.5680,0.4792
frame_000440.jpg,0.5661,388.3,0.3480,0.4789
frame_002410.jpg,0.5738,373.6,0.3349,0.4782
frame_001400.jpg,0.5059,486.8,0.4363,0.4781
frame_001150.jpg,0.3867,685.1,0.6141,0.4777
frame_001210.jpg,0.3731,707.4,0.6341,0.4775
frame_000890.jpg,0.3908,676.6,0.6065,0.4771
frame_001380.jpg,0.4535,571.4,0.5122,0.4770
frame_003750.jpg,0.5166,461.8,0.4140,0.4755
frame_001360.jpg,0.3744,695.2,0.6231,0.4739
frame_000750.jpg,0.5686,364.9,0.3270,0.4719
frame_001180.jpg,0.3907,659.9,0.5915,0.4710
frame_000950.jpg,0.4175,611.4,0.5480,0.4697
frame_001170.jpg,0.3947,649.4,0.5821,0.4697
frame_001410.jpg,0.4956,479.7,0.4300,0.4694
frame_000960.jpg,0.4154,613.3,0.5497,0.4691
frame_003180.jpg,0.6308,250.3,0.2243,0.4682
frame_000970.jpg,0.4072,619.1,0.5550,0.4663
frame_003120.jpg,0.5966,302.1,0.2708,0.4663
frame_002230.jpg,0.6788,164.2,0.1472,0.4661
frame_000290.jpg,0.3767,669.2,0.5999,0.4660
frame_003940.jpg,0.4729,507.6,0.4550,0.4657
frame_000340.jpg,0.4498,546.1,0.4895,0.4657
frame_000930.jpg,0.4226,587.7,0.5268,0.4643
frame_003820.jpg,0.5689,341.0,0.3057,0.4636
frame_001160.jpg,0.3880,643.2,0.5765,0.4634
frame_001440.jpg,0.4667,510.5,0.4576,0.4631
frame_003090.jpg,0.6333,231.1,0.2071,0.4629
frame_001260.jpg,0.4929,466.1,0.4178,0.4628
frame_000390.jpg,0.4846,471.9,0.4230,0.4599
frame_003170.jpg,0.6141,250.7,0.2247,0.4583
frame_001090.jpg,0.3398,708.7,0.6353,0.4580
frame_001120.jpg,0.3696,658.1,0.5899,0.4577
frame_000410.jpg,0.4996,440.6,0.3950,0.4577
frame_000360.jpg,0.4982,438.1,0.3927,0.4560
frame_002140.jpg,0.7268,52.7,0.0472,0.4550
frame_003740.jpg,0.5007,426.8,0.3826,0.4535
frame_000920.jpg,0.4047,581.7,0.5215,0.4514
frame_001420.jpg,0.5084,397.8,0.3566,0.4476
frame_000070.jpg,0.3343,688.7,0.6173,0.4475
frame_000080.jpg,0.3489,663.9,0.5951,0.4474
frame_003420.jpg,0.4977,412.1,0.3694,0.4464
frame_000300.jpg,0.3884,593.0,0.5316,0.4457
frame_002390.jpg,0.3610,633.9,0.5682,0.4439
frame_003850.jpg,0.4688,453.4,0.4064,0.4439
frame_003880.jpg,0.4110,545.8,0.4893,0.4423
frame_003870.jpg,0.4343,506.4,0.4539,0.4422
frame_000880.jpg,0.3908,579.0,0.5190,0.4421
frame_003110.jpg,0.5424,325.2,0.2915,0.4420
frame_001200.jpg,0.3746,605.1,0.5424,0.4417
frame_000790.jpg,0.5372,328.9,0.2948,0.4402
frame_000800.jpg,0.5391,322.6,0.2892,0.4391
frame_001050.jpg,0.3586,624.6,0.5599,0.4391
frame_000380.jpg,0.4749,429.7,0.3852,0.4390
frame_001070.jpg,0.3407,654.0,0.5862,0.4389
frame_003470.jpg,0.4672,441.9,0.3962,0.4388
frame_000310.jpg,0.4335,498.3,0.4466,0.4387
frame_003450.jpg,0.4197,520.8,0.4669,0.4385
frame_003500.jpg,0.4524,465.7,0.4174,0.4384
frame_001350.jpg,0.3941,563.2,0.5048,0.4384
frame_003860.jpg,0.4313,499.5,0.4477,0.4379
frame_002280.jpg,0.4211,513.8,0.4606,0.4369
frame_001330.jpg,0.5070,366.7,0.3287,0.4357
frame_003930.jpg,0.4310,492.5,0.4414,0.4352
frame_001320.jpg,0.5978,212.9,0.1908,0.4350
frame_002400.jpg,0.4238,502.8,0.4507,0.4346
frame_003480.jpg,0.4734,418.6,0.3752,0.4342
frame_003490.jpg,0.4640,434.0,0.3891,0.4340
frame_000350.jpg,0.4669,427.9,0.3836,0.4336
frame_000980.jpg,0.3902,549.3,0.4924,0.4311
frame_003710.jpg,0.4751,407.1,0.3649,0.4310
frame_003140.jpg,0.5569,268.4,0.2406,0.4304
frame_001080.jpg,0.3318,643.5,0.5768,0.4298
frame_003440.jpg,0.4130,503.7,0.4515,0.4284
frame_001100.jpg,0.3037,680.9,0.6104,0.4264
frame_000870.jpg,0.3623,582.0,0.5217,0.4260
frame_002380.jpg,0.3493,597.9,0.5359,0.4239
frame_001190.jpg,0.3657,565.0,0.5064,0.4220
frame_003910.jpg,0.3906,518.6,0.4649,0.4203
frame_003100.jpg,0.5079,321.4,0.2881,0.4200
frame_003530.jpg,0.4307,448.8,0.4023,0.4194
frame_003550.jpg,0.4414,429.5,0.3850,0.4189
frame_003430.jpg,0.4559,404.4,0.3625,0.4185
frame_001060.jpg,0.3536,575.3,0.5157,0.4184
frame_003920.jpg,0.4024,491.8,0.4408,0.4177
frame_002270.jpg,0.4086,480.2,0.4305,0.4173
frame_003890.jpg,0.3836,521.8,0.4677,0.4173
frame_001110.jpg,0.2994,662.1,0.5935,0.4170
frame_003580.jpg,0.4395,425.9,0.3818,0.4164
frame_003560.jpg,0.4397,424.9,0.3808,0.4161
frame_003460.jpg,0.4490,408.8,0.3664,0.4159
frame_003510.jpg,0.4412,418.3,0.3750,0.4147
frame_003150.jpg,0.5620,215.2,0.1929,0.4144
frame_000840.jpg,0.6053,141.1,0.1265,0.4138
frame_002820.jpg,0.6032,143.2,0.1284,0.4133
frame_003840.jpg,0.4289,431.8,0.3870,0.4121
frame_001340.jpg,0.4333,424.2,0.3802,0.4121
frame_003540.jpg,0.4414,408.9,0.3665,0.4114
frame_003570.jpg,0.4274,427.8,0.3835,0.4099
frame_003700.jpg,0.4190,438.2,0.3928,0.4085
frame_003520.jpg,0.4338,410.9,0.3683,0.4076
frame_002830.jpg,0.5944,141.7,0.1270,0.4074
frame_002290.jpg,0.3883,486.0,0.4356,0.4073
frame_000860.jpg,0.3700,509.1,0.4564,0.4045
frame_002370.jpg,0.3489,540.9,0.4849,0.4033
frame_003640.jpg,0.4239,414.4,0.3714,0.4029
frame_003690.jpg,0.3805,483.3,0.4332,0.4016
frame_003590.jpg,0.4337,366.8,0.3288,0.3917
frame_003900.jpg,0.4050,408.2,0.3659,0.3893
frame_003630.jpg,0.4153,367.3,0.3293,0.3809
frame_003600.jpg,0.4202,353.9,0.3172,0.3790
frame_002240.jpg,0.4306,335.2,0.3005,0.3786
frame_003620.jpg,0.4231,341.2,0.3058,0.3762
frame_003610.jpg,0.4221,318.4,0.2854,0.3674
frame_003670.jpg,0.3628,414.4,0.3715,0.3663
frame_003830.jpg,0.4139,321.2,0.2879,0.3635
frame_003650.jpg,0.3983,344.4,0.3087,0.3624
frame_000850.jpg,0.5105,155.2,0.1391,0.3619
frame_003680.jpg,0.3635,391.7,0.3511,0.3585
frame_003660.jpg,0.3679,375.0,0.3361,0.3552
frame_002260.jpg,0.3022,471.2,0.4224,0.3503
frame_002250.jpg,0.3206,398.1,0.3569,0.3351
frame_002350.jpg,0.2506,367.6,0.3295,0.2821
frame_002340.jpg,0.2645,333.2,0.2987,0.2782
frame_002360.jpg,0.2385,355.0,0.3182,0.2704
frame_002300.jpg,0.2963,195.3,0.1751,0.2478
frame_002330.jpg,0.1624,299.7,0.2686,0.2049
frame_002310.jpg,0.2161,126.1,0.1131,0.1749
frame_002320.jpg,0.1326,208.3,0.1867,0.1543
frame_003160.jpg,0.0008,156.5,0.1403,0.0566
